user,reward
0xb867416A190C0d9050E941d4c19C7Ac77CEFa747,1644446945931146411112
0x9Db87d302D3442eF6108510AA08F276a82724633,1008770135763265758654
0x1Ce2dB664943433bDBB72EB7AE3bacFcE26ba2ca,254455124582228447235
0x06c405FD76A6a9B9ddC33e62f83CE341a7c214cB,204233553893392259999
0xaDCf6661Dca24225d7984EE96B55e939fc6dDd10,178939795519553348223
0x073bE86D6cf0A64aCf4a67E302d021A2dD4bBa02,110063296664701470941
0x9c3beEF762f53B9c4aF44F2A155EBe7D3bf60F22,101627230709230141192
0xa89Ba43f7274f42391E0cbE308bEE9C470eCFB9D,101627155838824018565
0x488577d892436B03C36fAeE95db56ed512e3f169,92317809643538960937
0x8298A996A00835eedcC75763038B731Fe617Fd0D,65631081323196827304
0xaFd2E9714835713f014E90a26231677733534a38,65360685126295185388
0xBcA4D68BE543dCEFb1a8bcCb519503f9ba3f2026,45048332027850208420
0xdDAeD4FEb139dC458B6D153D0C322716Cd0D574E,33818224403924492920
0xa1C9d41719c4fFD99463F1CfA579d9b6A96b50c6,30864250489806209401
0x61509a09f6E278fC24B67b5D5799279bC7Af6f25,16376709898028938125
0xEd700fD63866CBa81Ced16974709Ff4d4621f298,7624824975849464855
0x76Ed6c22154EF31Df771A11287740B10E8d196D4,6380347189431591366
0x0fD90B9D61af052C4328BC2Fa9A1529627af0a7d,3970587331447523175
0xC32b7438b3dF7844c9eE799930a2224Fe6E26426,2926002271546928535
0xD4408dC67E85b229Af48da4ce56D8892e76deD2e,2898540978474588114
0x461BEd1c0962CbCC4484Be93030a0ea54BE6D733,2743123198633015300
0xBDac6532be38Db1D48640d46C3011dF6D4C099Ec,2652247381661182910
0x941D795F9c3A947C67e2402450eab0B6cd92d422,2651683874414535360
0x8D17851c043dd69EE8ba1e68fB8300B80e8E7Bb4,2562295578130865055
0xac206Dfe89fAf2F394af56Df6407ebB9053dB240,2377366289193579828
0xEeE7FB850D28f5cabd5f1EDF540646b5bEA17CE5,1429016334791046344
0x61cfAA80817924fF93c791841A7C774d4820b999,1018914415655473506
0x4Af6E24964ca65dc754cb7e18ba4EF3DC4d6623c,907679358757914114
0x86c16F44BC75851a9E2E16e28366aDD78169fEA9,634509107409259069
0x7928A66320e3799a935a877A70EB8567b7C17A75,457582176597746042
0x6a8Ac027Fc7da7Ea606462AC0a3bcd39CFB78b85,440253186658805883
0xE9D374E8f8DFEfF738daBEf5a0eACe68DAcEafEd,425582226662783094
0x302C469a8e85d9f6d604D5E7CA4836b86220D22f,330189889994104412
0xbFc2749366F5c75Fa59c135f2a5a926054aaa606,273300726092226830
0xa7fa4910beF6aEbe19F0d609389E37c103eeC9b5,236306025638487515
0xF285d0fCABCbaF5941B47Fa282C0c1db05e15E32,208553163886661439
0x16E40CBF5c1bB4aAb07f47F59d0A58461F88Ed74,184145310471260788
0x2FEB12B34a09Cac2a518e51E4044A46800eE8cA7,172973700197261240
0x8d02e580ed45631D5C8b53352add7A5154988b3e,159408715134661224
0x63c7a38f32401F88F7b352A556FE65E2304cFCcd,141731946993616602
0x908f5e14e8f48ed443Fa3BD59Ab7D2254f04edBb,141156774407183617
0xcd088E347aC400327Ed62494FA274D5E69359FEa,133833905158518005
0x8914AE3b9da2c949EfB986e46701f40b480b1fd0,95088342766729626
0x88bf17fCAa40f709365e0E9fCD6d6fcfb9bE600c,91439968822582136
0xb300AA30dD33e1Ae849Cb69FA23D6Ddaf90a69BC,91431337023615618
0x1cF36633A638768390a0175EE06D55c91986Aa09,75381111756718427
0x2Efb5F477D1e711C58809Ac48228c9d56dFAeC8A,74548795795300689
0x3A2894642CD0eE6bAFCB3920a447D5DAD2f1c6D3,74547790478267395
0xc298c36eb5840A4b0e5BFb4145742b198cC9ceD9,74546785181569263
0xb2639B276120f1b47829faa327D08B654e4B8328,74439285066845535
0x00081cBC7CB307852B22d541f004DC6c6922277A,73036863236692825
0x81BEdB34774f28ea3A50Cbe31eE13f254F9de2F2,63644907443992086
0xc475837BB1bd4922e1DC002802f8e2293e121eF8,48073336836971043
0x2142248bdA0D9613BaF9DF848BbEfd8EAC723d3e,46226584599174617
0x854120A2236715906660D34650d117392Fc73BD8,45757333313071625
0x6439f5D99c85A66a3dE6D2ceE73CcC4E2B011aEe,45742989930353020
0xB1D5604B8AD680CeB7147eF9A23237B68A21D73b,45649862036839537
0xa9F1992D79e228bEcE1978B26fac877FfdD9Aba4,45284245317504502
0x1118F4BaF2965d4373580DcB210681E4D2329506,37453035838183986
0x288A4e70Eba5d4f92e28F8CCc561E9fC947304A1,36177805613687373
0x94061E6dFF5E6474987be0D3B75975Db9b1A846C,35402513013488768
0x139219107C1eBE569f543C581b3B807Cf6740006,34457422300445728
0xDf3e23824C6b35Fc005dB2951396669e48bee106,33018988999410441
0x28288639D997B8aF1F4cb25190818C0001372fC8,31883641508641250
0x44E69B036c40f8F77146984b55D8AfE5fe23f135,27454970920830690
0x04c92983C9249115a4C719416Fd7e7A10B33CB55,27432016671578561
0x1992693a0bc5ffB6b46802CB9b67281307FBa0EF,25389651063914160
0x9Bc54B27D43c0DE1683ce9f9266D6bC22F687c3B,22012659332940294
0x3CA9444e83d2b3AaAb5F22495E8315781B943BE2,21955198957371613
0x4Da8FFd71956BD65E07FfaFf6A0e63B9D9518800,20569702185178481
0x532d36F8008bD0e993085a01A301E39641ccdD5a,20412559610214773
0x0ACb62e4aa9c4D68D0BDDd1e641483c4530A2728,20412559610214773
0x4F12dDE972145543854482698c0c6b689908C1c5,19218290535501556
0x651817b6B7464B61C6c6Ef87dA2BC84EE0E64377,18460851860724241
0xC6A61d9856CE1beA14861860714A77342FeF7952,18363350495727092
0x72f9aC3AF94EE6cF98179d9831a1ac6D21596684,18327139062946073
0x62440301842152aB442D02e36909337D1AA79F5F,18311693843903458
0x024899F1b2E7c3CFc5E3db7F54Ecc284fd775d29,18303271376678621
0xD8E5A6C7cD33d29778CFF10ab27333e41F520965,18292049276792904
0xA7FdcB2cabd232B02E2608E4d6a11E3707bE5683,18292009320757083
0x67Cb02e30F1FeB871bC19a9c16D0C3DC3E1D9fB7,18291429140472675
0x8475135349D643940ddEDC33FfC731AFC5F9F4cE,18211836799369705
0x16485Df0562a0CdE1Db9B2Dd12E2460BE4B78D3E,18155425616962692
0xDCaa4667Bf4a8383D02B2Fb95a824778993BB99D,18155414323538243
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,17095253791282771
0xb7183377deA350f39998BBD6167BB90fF6E50180,14956605601840033
0x0F228805C03A693AA964A791E0b2e2c6e6c6513f,14486773867556257
0x48A5A6a01bA89cDdF97D2D552923d5a11401Ed19,14053303371823822
0xb6D197B72756395A4A8f8D48a54750D5b8Ea51EE,13649074480463813
0xce355a1bb38240450C09333ee60902bCA1521F2D,13092389231215850
0x1E5773301a43304D645341bce9af9D0cf6A0d1F0,12575280653692263
0xCe72ADbF190Fa6261e6F97251ca8Ae9462171F91,11996899336452460
0xA999D0213a54f4682a7ae3733476b54624425159,11897136807483356
0x91aC14C7d856a9B786e25b2d505EFcAf6B5cB180,11464203969686726
0x73dE2dC9Ab2Cd764f56C0961FDe6540092D3BE6A,11229731904621322
0xa51fAB99348B58082154A96FD2a7D92600a0E930,11006329666470147
0x6357E06aCFd0cE12d2D93176fB4E9d4D2200D3F1,11006329666470147
0xb8920e475E32B807cE51e0eF823fE070D7D96e8C,10726051005667252
0xf76400bE96d91E4d645e7C8Cae70C0886DfD170A,10501162095264065
0x0F9548165C4960624DEbb7e38b504E9Fd524d6Af,10117656865404308
0x95DaDd2dfaC5a90a3c0E493B54e19e1B81974bB5,10062803144615005
0xc1BcbE74305A789873e983aC10a7E8452796B126,9685570106493729
0xF15B1511616671469A533635A1966a5a81343015,9396248456530054
0x8DBc169a6fb0FE34149a4BA21E51DC31d1f677EF,9277946051681688
0x4426F66628E02299932c49C4685f4A50a5f8666c,9151628311043088
0x925030586AEE5426E5A828c5C1b595727353daDA,9144017513942204
0x8aD8E55a7834F90a37Ab3cab9144C8E5E89D0878,9128359532490872
0x9fE1381bbf84Af2BD3d1c1EE48EeD57e475f3F30,9126483104322392
0xEab804590011d0650FcB6c4Da1870C6e9ca062D1,9109439458268033
0x567f382fd818E4495EEf5F397a064A370b3A53A4,9107114635601467
0x143BB038245Cd7A3a05a6fCb89Cf1920eEfa1693,9077712822370794
0x268EF519eDBf507Ed9fF31a3EaE96c82cBE1bb0b,8805063733176117
0x7F812A524E72461B4AA20f3146A0b3C50271Efbf,8574813875157978
0x57E959dC6EBb5FF64228a5a936621CC7c5Ef8755,8481289932231782
0x0E336e7A44B994dAe19FcacfafD35a15Ba48F18d,8171426901260472
0x53d99C99098F0BA651ce7b17Cf06095045443b74,7909814853294756
0xDdaC95994D0C3B6773801D26210e2b6b2F8e8dab,7264177579870297
0xC0eA3aFEb9A83EF8f83A5Df7C563a3b7c4A5fAe4,7239671435461780
0x7B41b9891887820A75A51a1025dB1A54f4798521,6605421600420175
0xC5Df8694911835d62920a9BD293A8d9CdF788d89,6452574582501281
0x01172524Bd1c1Eb7B442ffd52e4e1e7740F1e8D4,6406091293595296
0x7fA6397663Ae1909cCA3C874c58827C4a040F9fc,6206889531719376
0xcC44A3969A0230c88042DeB4f20baA70E133268e,5824783886432742
0xFaCEc1c32AE56097866A6c1dDA1124f2C6844F40,5706367861450567
0x92860e307a1aEFEE004BFeE496c5622ebBa4b9C5,5503164833235073
0x66911f0d4C73A9189Ed29ecAFC1514236F51dD45,5503164833235073
0x2DDB405238368695f34d30a80AB60c449aa5cE48,5303480043601707
0x3E5662e3b3F63e51B01963a2E1550A3bdcc3284B,5120519003899393
0x41ec28eceb137789032B2B505A57c1dA829934CD,4727381767990631
0x84DF26b640239Ec5DdDadE55D53D2279376D10A9,4575817186518168
0xBb932982fC7C8bfd3C2Ed8FFB31bBA1C406eEF5d,4564751700385542
0xBA7770994a63d874127bC6eF8a0c78CCd5174E13,4563701711848611
0x9862FD5b8dbFbe4e887d244d28e53D792dED66EB,4553444165025680
