user,reward
0x1Ce2dB664943433bDBB72EB7AE3bacFcE26ba2ca,375648096645089148719
0xDd3152E1dD2154F688ef45A2c0B71d822b2f172A,35008269401394492115
0x9B981cc4efEf5186F4436a349005dAEA13959b56,21448591505050414539
0x5AfdD71EC312eDa36663f72032f269BD9C950cB4,16895036106284645067
0x5321d7296fe0e7Cae533a090DcDA6E00F0499df0,8588960703271046225
0x5d606A1E7096a4b7BB693E31E5533A4e73142c58,8574141491433973290
0x3885cED126E499E409390F78cCE16aC06Ad49316,6645808457319033765
0x9605a73EC78D6b3564dECD7D09878d739ed32312,4753683442688475944
0x73860DC8055a36199fa017e4D9b6584E1497DF85,3212231252596963853
0x0b6aaDc634a44D95571bC5C2a02583B143ecf980,2989216053142320309
0x865FCDA847083C81E9c3FdF0e4612E13bf5086dc,1749544946443798551
0xDA051a020725a03057f46a222573B62D33BC89Fa,1439018136559178598
0xe66B6974ED4586458Be509F77B9b4Ab0b4aDA71d,1404936049242416579
0xEA31776d40a38292C378920eb09B9F857bc31B33,838662426856457012
0x660eFc1F1af3f80e448f411371B973BB004D843e,751450792908327417
0x945294C67752BD0A453975c04e3078c487a858df,749313327292312026
0x2dA14D486aE663347e2e69a0189c0aE36248F681,586910511803666826
0x29f15ab7deFF7C1aCC7b67363cd56ce22864C3A9,421557352767934909
0xf99CF6Bfbe6A00747902197B2baFbD7365E464D4,344682984168316137
0x03e7ab483eA1d177E4BE2472bF16cA17B8cF280d,250360151813622641
0x8C18A851D13Bf977c801af3C5B9C96edc280E402,197382768619457961
0x220a6CB04d48CA2c33735E94DF78c17F8B0F7C9F,193322195468316442
0x23CB5f48fa3F4502232F3442637f90E8e3355701,185009330904344419
0x772F02D96a8baeEaBB2f1d5F8F0250f44dF76e91,177132785767050123
0xAd789Eb3042dDE224CbBcacf0b57399de0807502,176727171192697928
0x401C706C851A548C02d06e6a924FA993F7c518e2,174689562063839951
0x64653a0EC32aec2E3932B9f37c36ce8287e1cd0d,168604704514974355
0xB3623D62FF30fadB5B2e127C07cab0D1b0808276,166715658118170459
0xBb18ed77983c6ca915f6F0fe39963e185BF1064f,164544870197685745
0x2f6d342D8F226D64FA4de4B89d199e07C358659d,164309909497539041
0x463544C83bd14aad88Db07Ac3642AabB0De1ddDa,150317931965424093
0xF3AA68cADB8F25Ad25b054841df221d234b8b374,149862167029702668
0x07d65EeD5BBfFc7A7fb767b1d9b2E008F9bcE0A3,134895545689972896
0x2Ec850577994222B252EBf7D980f114930f430bD,134875950326732401
0x7c7dcA16E840832eCD68c287e16DC5a59f95c805,114172071048696658
0xf626e9A2FDDbf55b0b1A87C56128A7ba6723A85a,110725662109895816
0x16E40CBF5c1bB4aAb07f47F59d0A58461F88Ed74,110148692766831461
0xcE10C23561Dce134ae20B32f8166A131c741F463,109767256783371569
0x38940B5dd4b833b6DCB18a60026726544306931D,106298125658464796
0xbf396b3182b53AcFc4156801184C63239D4F8a19,94934910363226591
0xaEB897D84e086f0A4Cea3d47fdDAc7cA7d9e54e8,92491185674563887
0x57E959dC6EBb5FF64228a5a936621CC7c5Ef8755,89498909446558063
0x3e00aEe52066ee270f8BadF0B5bb41993f057321,83677450202225204
0x9A1B360DDb1Dc65b9cB790138953Ca0d26d9d24B,83652986704896514
